player_id,name,team_id,team_name,total_match,innings,total_wickets,balls,highest_wicket,economy,SR,maidens,avg,runs,bowling_style,overs,dot_balls
2280619,Rohit Baghel,7449958,Darebulls,3,3,3,36,2,8.17,12.00,1,16.33,49,Right-arm medium,6.0,21
31707141,Ahtasham Kang,7424272,Freizeit CC,2,2,3,13,3,8.31,4.33,0,6,18,Right-arm fast,2.1,6
20712849,Shubham Bhatt,4220557,TSGN Royal Warriors,5,5,3,60,1,8.70,20.00,0,29,87,Right-arm medium,10.0,24
5661111,Guru Gadiwaddar,3793721,Trebur Cricket Club,3,3,3,30,2,8.80,10.00,0,14.67,44,Right-arm medium,5.0,16
31908461,Danish Ahmad,7444345,RCB Cricket Club Ruesselsheim,4,3,3,22,2,9.00,7.33,0,11,33,Right-arm fast,3.4,11
5475264,Srikanth Thorlikonda,7440693,TSV Darmstadt XI,5,5,3,52,2,9.00,17.33,0,26,78,Right-arm fast,8.4,17
41679047,Sobin,6591085,TSGN Mavericks,3,3,3,36,2,9.33,12.00,0,18.67,56,Right-arm fast,6.0,11
38583870,Narayana Chandram,9495458,Wetzlar Super Kings,3,3,3,25,2,9.36,8.33,0,13,39,Right-arm fast,4.1,10
5649838,Punith,10472983,FCC Friends XI,5,5,3,54,2,9.56,18.00,0,28.67,86,Right-arm medium,9.0,19
22371480,Siva Tumpala,4674227,BlueWings,3,3,3,36,2,10.83,12.00,0,21.67,65,Right-arm fast,6.0,7
41554051,Praveen Damera,10472983,FCC Friends XI,5,3,3,30,2,11.20,10.00,0,18.67,56,Right-arm medium,5.0,8
38454366,Avinash Ravi Prakash,9461015,Ingelheim Cricket Club,3,3,3,30,2,12.80,10.00,0,21.33,64,Right-arm medium,5.0,9
29063790,Manoj Kumar,7356382,SPVGG Dragons,3,3,2,24,1,2.75,12.00,0,5.5,11,Right-arm fast,4.0,17
5677576,Sumanth Pulluru,2623314,TSV Darmstadt United,6,2,2,2,2,3.00,1.00,0,0.5,1,Right-arm medium,0.2,2
5639534,Mani,7440693,TSV Darmstadt XI,3,1,2,6,2,4.00,3.00,0,2,4,Right-arm medium,1.0,3
27927241,Rohan Kumar Rathi,430802,Tgs Indian Challengers,3,3,2,36,2,4.17,18.00,0,12.5,25,Right-arm medium,6.0,15
31709679,Gurjinder Singh,7437045,Hawk Hunters,3,1,2,12,2,4.50,6.00,1,4.5,9,Left-arm fast,2.0,8
4871145,Lalit Sharma,806595,Juggernaut Cricket Club,3,1,2,5,2,4.80,2.50,0,2,4,Right-arm medium,0.5,3
13504911,Muneeb Ullah,3793721,Trebur Cricket Club,3,3,2,22,1,4.91,11.00,0,9,18,Right-arm fast,3.4,13
2467546,Yeshwanth Chandrashekar,7440693,TSV Darmstadt XI,3,1,2,6,2,5.00,3.00,0,2.5,5,Right-arm medium,1.0,3
31655031,Bhardwaj Vipin Fcc,7424272,Freizeit CC,2,1,2,6,2,6.00,3.00,0,3,6,Right-arm medium,1.0,5
41680914,Margin Jivani,7251731,KK Challengers,3,3,2,36,1,6.33,18.00,0,19,38,Right-arm medium,6.0,18
31653882,Karthik P,7424272,Freizeit CC,2,2,2,12,1,6.50,6.00,0,6.5,13,Right-arm medium,2.0,8
29061009,Susheel Amingad,7356382,SPVGG Dragons,3,3,2,30,2,6.60,15.00,0,16.5,33,Right-arm fast,5.0,14
2944837,Mandeep Singh Sandhu,7437045,Hawk Hunters,8,2,2,24,1,6.75,12.00,0,13.5,27,Right-arm fast,4.0,10
38376538,Rana Tahir Rüss,7444345,RCB Cricket Club Ruesselsheim,5,5,2,48,1,6.75,24.00,0,27,54,Right-arm fast,8.0,26
14125282,Sidharth Sharma,7415125,Sulzbach XI,3,3,2,30,1,7.20,15.00,0,18,36,Right-arm medium,5.0,11
29807641,Abdul Waseh Khawaja,430802,Tgs Indian Challengers,3,3,2,36,2,7.33,18.00,0,22,44,Right-arm fast,6.0,15
19142967,Sumant Chahar,6269379,TGS Rising Challengers,3,3,2,33,2,7.45,16.50,0,20.5,41,Right-arm medium,5.3,16
3237080,Ajay Kumar Bharath Kumar,430802,Tgs Indian Challengers,3,1,2,12,2,7.50,6.00,0,7.5,15,Right-arm fast,2.0,5
30891927,Sohom Chakraborty,7251731,KK Challengers,1,1,2,12,2,7.50,6.00,0,7.5,15,Right-arm fast,2.0,7
16112617,Vishal,2623314,TSV Darmstadt United,3,3,2,36,2,7.50,18.00,0,22.5,45,Right-arm fast,6.0,17
27869378,Prasoon Verma,1517508,Frankfurt Spartans Cricket Club,4,3,2,18,2,7.67,9.00,0,11.5,23,Right-arm fast,3.0,6
31742571,Venkatesh Sanem,6290732,TSV Frankfurt Garuda,3,2,2,18,2,7.67,9.00,0,11.5,23,Right-arm medium,3.0,7
38454336,Pankaj Sharma,9461015,Ingelheim Cricket Club,3,3,2,31,2,7.94,15.50,0,20.5,41,Right-arm medium,5.1,10
2468416,Sandeep Ek,1517508,Frankfurt Spartans Cricket Club,3,1,2,6,2,8.00,3.00,0,4,8,Right-arm medium,1.0,3
