player_id,name,team_id,team_name,total_match,catches,caught_behind,run_outs,assist_run_outs,stumpings,caught_and_bowl,total_catches,total_dismissal
22372349,Gopal Cricket Germany,4674227,BlueWings,5,2,0,1,1,0,0,2,3
28727397,Imtiaz Kh,2114868,SVS Frankfurt Eagles,5,3,0,0,0,0,0,3,3
29063790,Manoj Kumar,7356382,SPVGG Dragons,5,0,3,0,0,0,0,3,3
31920798,Ragunathan S,3793721,Trebur Cricket Club,5,2,0,1,0,0,0,2,3
31982831,Anoop Kiran,7356382,SPVGG Dragons,5,3,0,0,0,0,0,3,3
3279362,Sudeept Jaiswal,430802,Tgs Indian Challengers,6,3,0,0,0,0,0,3,3
3422841,Raj,4220352,TSGN Titans,6,3,0,0,0,0,0,3,3
12342906,Rahul Shinde,9390582,TSGN Royal Lions,6,2,0,1,0,0,0,2,3
27925432,Neelam Nagaraj,430802,Tgs Indian Challengers,6,3,0,0,0,0,0,3,3
29807641,Abdul Waseh Khawaja,430802,Tgs Indian Challengers,6,2,0,0,0,0,1,3,3
32089504,Sahil Verma,2623314,TSV Darmstadt United,6,2,0,1,1,0,0,2,3
9691456,Monirul Hemal,2948485,Frankfurt Strikers,7,2,0,0,0,0,1,3,3
31510171,Vaibhav Patil,7437045,Hawk Hunters,7,2,0,1,0,0,0,2,3
42083401,Atishay Jain,4220557,TSGN Royal Warriors,7,2,0,1,0,0,0,2,3
2195382,Ankit Khurana,7437045,Hawk Hunters,8,3,0,0,0,0,0,3,3
2944837,Mandeep Singh Sandhu,7437045,Hawk Hunters,8,3,0,0,1,0,0,3,3
14252318,Hafiz,2948485,Frankfurt Strikers,8,3,0,0,0,0,0,3,3
31710043,Ibrahim Zadran,7437045,Hawk Hunters,8,2,0,1,0,0,0,2,3
5661111,Guru Gadiwaddar,3793721,Trebur Cricket Club,1,2,0,0,0,0,0,2,2
15416746,Tanvir Ahmed,2948485,Frankfurt Strikers,1,0,2,0,0,0,0,2,2
32106760,Krishna Shah,2204871,MSC Black Bears,1,1,0,1,0,0,0,1,2
2398260,Manoj Cricket Hdbg,10570905,TBG Neulusheim,2,2,0,0,0,0,0,2,2
5894321,Atiq Awan,10472983,FCC Friends XI,2,2,0,0,0,0,0,2,2
13807276,Rupesh,7436670,Giessener 11,2,2,0,0,0,0,0,2,2
20713334,Bhavik Pandya,4220557,TSGN Royal Warriors,2,2,0,0,0,0,0,2,2
22110801,Siva Rama Chandra Raju Indukuri,7444065,VFL_Kesselehim,2,0,2,0,0,0,0,2,2
22168829,Tanay Kapadia,7444065,VFL_Kesselehim,2,2,0,0,0,0,0,2,2
28007346,Allen Cutinha,7356382,SPVGG Dragons,2,2,0,0,0,0,0,2,2
29263251,Dhawal Patel,4220557,TSGN Royal Warriors,2,2,0,0,0,0,0,2,2
30627461,Murtaza Bhatti,7251731,KK Challengers,2,2,0,0,0,0,0,2,2
31718594,Abdullah Ahsan,7444218,Mannschaft Ginnheimer,2,2,0,0,0,0,0,2,2
38504716,Imtiaz Ali,7442593,AMU Sultans,2,0,0,1,0,0,1,1,2
40774452,Sajid,7254701,Old Monks XI,2,1,0,1,0,0,0,1,2
41840900,Sonu Das,10574333,Frankfurt wolves,2,2,0,0,0,0,0,2,2
41847446,Harshith Naik,10574333,Frankfurt wolves,2,2,0,0,0,0,0,2,2
3278437,Iniyan Panneerselvan,430654,Royal Strikers FFM,3,2,0,0,0,0,0,2,2
12352317,Daud Muhammad,2114868,SVS Frankfurt Eagles,3,2,0,0,0,0,0,2,2
14141075,Giri,10403916,RCB XI,3,2,0,0,0,0,0,2,2
14701389,Akarsha,7444065,VFL_Kesselehim,3,2,0,0,0,0,0,2,2
15705955,Shahriar Islam,1402160,Skyline Strikers,3,2,0,0,0,0,0,2,2
15984356,Charchil Gajera,7444065,VFL_Kesselehim,3,1,0,0,0,0,1,2,2
19142967,Sumant Chahar,6269379,TGS Rising Challengers,3,2,0,0,0,0,0,2,2
22371420,Ravi Gangula Dbag,4674227,BlueWings,3,2,0,0,0,0,0,2,2
22665505,Jithu Chandran,4757949,Friedrichsdorf Cricket Club,3,1,0,1,0,0,0,1,2
30576208,Srinivasan,6941365,Karlsruhe Knights,3,2,0,0,0,0,0,2,2
31638536,Kurra,7392287,DCC Rising Stars,3,2,0,0,0,0,0,2,2
31639860,Kaushik Sekar,7392287,DCC Rising Stars,3,2,0,0,0,0,0,2,2
31655083,Kapil Yadav,7440693,TSV Darmstadt XI,3,2,0,0,0,0,0,2,2
31692655,Abdul Ghaffar,2623314,TSV Darmstadt United,3,2,0,0,0,0,0,2,2
31697606,Raju Lama,7436670,Giessener 11,3,2,0,0,0,0,0,2,2
31713319,Sheikh Suleman,7442593,AMU Sultans,3,2,0,0,0,0,0,2,2
31719214,Eyaan Ahmed,7444218,Mannschaft Ginnheimer,3,2,0,0,0,0,0,2,2
